SEQ,STATE_DT,STATE_TIME,DECIDE_CNT,CLEAR_CNT,EXAM_CNT,DEATH_CNT,CARE_CNT,RESULT_NEG_CNT,ACC_EXAM_CNT,ACC_EXAM_COMP_CNT,ACC_DEF_RATE,CREATE_DT,UPDATE_DT
692,2021-11-09,00:00,383407,350658,1520380,2998,29751,14309086,16212873,14692493,2.6095435267,2021-11-09 09:24:09.116,null
691,2021-11-08,00:00,381692,347797,1518345,2980,30915,14260796,16160833,14642488,2.6067427885,2021-11-08 09:28:41.663,2021-11-09 09:30:27.242
690,2021-11-07,00:00,379934,346801,1497751,2967,30166,14253188,16130873,14633122,2.5963974058,2021-11-07 09:29:07.692,2021-11-08 09:08:05.416
689,2021-11-06,00:00,377710,345566,1472186,2956,29188,14249291,16099187,14627001,2.5822791698,2021-11-06 09:37:28.182,2021-11-08 09:07:48.135
688,2021-11-05,00:00,375463,343237,1475027,2936,29290,14201178,16051668,14576641,2.5757854638,2021-11-05 09:27:51.19,2021-11-07 09:44:48.33
687,2021-11-04,00:00,373120,341888,1464968,2916,28316,14163144,16001232,14536264,2.5668218463,2021-11-04 09:27:32.684,null
686,2021-11-03,00:00,370638,340471,1451112,2892,27275,14131777,15953527,14502415,2.5556984819,2021-11-03 09:28:24.308,2021-11-04 09:27:53.323
685,2021-11-02,00:00,367970,338947,1443843,2874,26149,14093372,15905185,14461342,2.5445079716,2021-11-02 09:30:05.194,2021-11-04 09:31:12.867
684,2021-11-01,00:00,366382,337353,1424100,2858,26171,14058818,15849300,14425200,2.5398746637,2021-11-01 06:42:25.145,2021-11-04 09:31:23.547
683,2021-10-31,00:00,364697,336548,1386962,2849,25300,14052403,15804062,14417100,2.5296141387,2021-10-31 09:17:32.729,2021-11-04 09:31:44.097
682,2021-10-30,00:00,362636,334581,1366434,2830,25225,14046627,15775697,14409263,2.5166866619,2021-10-30 09:42:07.803,2021-11-04 09:31:55.49
681,2021-10-29,00:00,360532,332995,1358692,2817,24720,14011558,15730782,14372090,2.5085565147,2021-10-29 09:31:17.46,2021-11-04 09:32:05.724
680,2021-10-28,00:00,358411,330853,1389130,2808,24750,13930645,15678186,14289056,2.5082902607,2021-10-28 09:33:44.198,2021-11-01 06:34:15.071
679,2021-10-27,00:00,356300,329658,1387186,2797,23845,13884820,15628306,14241120,2.5019099621,2021-10-27 10:10:24.763,2021-10-30 09:44:12.063
677,2021-10-26,00:00,354355,327592,1366840,2788,23975,13858235,15579430,14212590,2.4932471843,2021-10-26 09:39:33.439,2021-10-26 19:11:36.585
